Frequency,DB(MAG(V(N_out))),MAG(V(N_out)),
0.001,-75.6307720681034,0.00016537177831914756,
0.0012589254117941673,-73.63077214084053,0.0002081907323761419,
0.0015848931924611134,-71.63077225612109,0.0002620966000097742,
0.00199526231496888,-69.63077243882847,0.00032996006315645806,
0.0025118864315095803,-67.63077272840013,0.0004153950945363612,
0.0031622776601683794,-65.63077318734024,0.0005229514128150543,
0.0039810717055349725,-63.63077391471123,0.0006583567675946304,
0.005011872336272723,-61.6307750675163,0.0008288219547489722,
0.006309573444801933,-59.63077689458866,0.0010434248012025106,
0.007943282347242816,-57.630779790301766,0.0013135935596025278,
0.01,-55.630784379694134,0.0016537154391734258,
0.012589254117941671,-53.63079165338179,0.002081902646836127,
0.015848931924611134,-51.63080318137706,0.0026209566684226304,
0.019952623149688795,-49.63082145196108,0.003299582012480781,
0.0251188643150958,-47.63085040874159,0.004153913795584096,
0.03162277660168379,-45.63089630178489,0.005229440005154323,
0.03981071705534973,-43.630969036449976,0.006583419782892507,
0.05011872336272723,-41.63108431084786,0.008287924467641107,
0.06309573444801933,-39.63126700273532,0.01043365926799397,
0.07943282347242815,-37.63155653549485,0.013134760953121659,
0.1,-35.63201537790543,0.016534810847682817,
0.12589254117941673,-33.63274250348652,0.0208143510417833,
0.15848931924611134,-31.633894692291122,0.026200239747457117,
0.19952623149688797,-29.635720217141756,0.03297721601991879,
0.251188643150958,-27.63861204513696,0.041502035518536255,
0.31622776601683794,-25.643191686715546,0.052220426638106304,
0.39810717055349726,-23.6504409138745,0.06568677716518051,
0.5011872336272722,-21.661907595631106,0.0825856554990176,
0.6309573444801932,-19.680024675734792,0.10375254683088074,
0.7943282347242815,-17.70859787948044,0.13018774543036565,
1,-15.75353530573099,0.16305091290323812,
1.2589254117941673,-13.8239002918762,0.20361275743618246,
1.5848931924611134,-11.933340611422901,0.2531237928616989,
1.9952623149688795,-10.101825097162422,0.31254225778430583,
2.51188643150958,-8.357315019654052,0.38206235562153507,
3.1622776601683795,-6.7364582394105454,0.46044428618826827,
3.9810717055349727,-5.282826554061612,0.544325490127317,
5.011872336272723,-4.04141753720864,0.6279558680512083,
6.3095734448019325,-3.0502294969756463,0.7038636303356125,
7.943282347242815,-2.3332865137760423,0.7644263947296515,
10,-1.9010037471728618,0.8034332715385465,
12.589254117941673,-1.7601373353304104,0.8165694602201977,
15.848931924611135,-1.9299343875843935,0.8007616773642994,
19.952623149688797,-2.459829542959391,0.7533703481743819,
25.118864315095802,-3.4486177312571837,0.6723092916103982,
31.622776601683793,-5.073042181687488,0.5576322605196727,
39.81071705534973,-7.64508307033279,0.414711278379073,
50.11872336272723,-11.752749590191357,0.25844165916139955,
63.09573444801932,-18.798593193916343,0.114833959672556,
79.43282347242815,-28.72696483633295,0.03661438621010052,
100,-21.589161340503694,0.08328023327019381,
125.89254117941672,-18.768671739456476,0.1152302258311624,
158.48931924611134,-18.10234518332197,0.1244178639170226,
199.52623149688796,-18.45002493136362,0.11953600945916772,
251.188643150958,-19.380576780111564,0.1073918097232248,
316.22776601683796,-20.680740048752796,0.09246193918436828,
398.10717055349727,-22.2241269882398,0.07740939096909048,
501.1872336272723,-23.928384867549433,0.06361810910739628,
630.9573444801932,-25.73824601213513,0.05165206625044425,
794.3282347242815,-27.616726630472435,0.041606738035203816,
1000,-29.53939765468171,0.033344953587566874,
1258.9254117941673,-31.490335440200706,0.026636872258961504,
1584.8931924611136,-33.45926910374585,0.021234231353179228,
1995.2623149688795,-35.439623571098366,0.016905141935241463,
2511.8864315095802,-37.42721124762293,0.013447434500898086,
3162.2776601683795,-39.419374219374326,0.010691319027583813,
3981.0717055349724,-41.41442939502292,0.008497252627799198,
5011.872336272723,-43.41131284440621,0.006752029915119254,
6309.573444801932,-45.409353220801925,0.005364538160246241,
7943.282347242815,-47.4081280817113,0.004261805209403389,
10000,-49.407373196699666,0.0033855664333123396,
12589.254117941671,-51.40692570959031,0.0026893895592228576,
15848.931924611135,-53.40668906414026,0.0021363162638103907,
19952.623149688796,-55.40661219331127,0.0016969513447360972,
25118.8643150958,-57.406678508251886,0.0013479260749058404,
31622.776601683792,-59.40690232100309,0.0010706681509339423,
39810.71705534973,-61.40733193187204,0.0008504198788368348,
